# py -c 'import sys,pstats;pstats.Stats("eventlethello.prof").strip_dirs().sort_stats("cumulative").print_stats()' | mate

Mon May  4 23:20:16 2009    eventlethello.prof

         1871962 function calls (1816583 primitive calls) in 44.689 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10002    0.014    0.000    0.014    0.000 runloop.py:221(cancel_timers)
    60095    0.014    0.000    0.014    0.000 {method 'get' of 'dict' objects}
    60012    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
     5001    0.013    0.000    0.013    0.000 httpd.py:430(generate_status_line)
     5001    0.011    0.000    0.012    0.000 pools.py:96(put)
    50018    0.012    0.000    0.012    0.000 {time.time}
    40007    0.012    0.000    0.012    0.000 {method 'join' of 'str' objects}
    25058    0.011    0.000    0.011    0.000 {isinstance}
     5004    0.009    0.000    0.009    0.000 {_bisect.bisect_right}
     5001    0.009    0.000    0.009    0.000 {time.gmtime}
     5001    0.007    0.000    0.008    0.000 pools.py:116(free)
    20004    0.008    0.000    0.008    0.000 rfc822.py:205(islast)
5009/5001    0.005    0.000    0.007    0.000 pools.py:86(get)
    25004    0.006    0.000    0.006    0.000 {method 'capitalize' of 'str' objects}
    25005    0.006    0.000    0.006    0.000 {method 'strip' of 'str' objects}
    24994    0.006    0.000    0.006    0.000 {method 'pop' of 'dict' objects}
     5001    0.005    0.000    0.005    0.000 BaseHTTPServer.py:435(version_string)
     5002    0.005    0.000    0.005    0.000 wrappedfd.py:74(decrement)
    15003    0.005    0.000    0.005    0.000 httpd.py:236(get_headers)
    20004    0.005    0.000    0.005    0.000 rfc822.py:215(iscomment)
     5001    0.004    0.000    0.004    0.000 mimetools.py:41(parseplist)
     5004    0.004    0.000    0.004    0.000 runloop.py:71(sleep_until)
     5002    0.004    0.000    0.004    0.000 timer.py:79(cancel)
     5023    0.003    0.000    0.003    0.000 <string>:1(fileno)
     5018    0.003    0.000    0.003    0.000 runloop.py:148(fire_observers)
        1    0.000    0.000    0.003    0.003 coros.py:423(__init__)
        1    0.000    0.000    0.003    0.003 coros.py:335(__init__)
        1    0.000    0.000    0.003    0.003 api.py:205(use_hub)
        1    0.001    0.001    0.003    0.003 api.py:183(get_default_hub)
     5001    0.003    0.000    0.003    0.000 {range}
     5001    0.003    0.000    0.003    0.000 {method 'items' of 'dict' objects}
     5001    0.003    0.000    0.003    0.000 {method 'replace' of 'str' objects}
     5002    0.002    0.000    0.002    0.000 wrappedfd.py:68(__init__)
     4987    0.002    0.000    0.002    0.000 {method 'keys' of 'dict' objects}
     5001    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     5002    0.002    0.000    0.002    0.000 wrappedfd.py:78(is_referenced)
        1    0.000    0.000    0.002    0.002 pollhub.py:24(<module>)
     4987    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
     5001    0.002    0.000    0.002    0.000 httpd.py:384(response_written)
        1    0.001    0.001    0.001    0.001 runloop.py:28(<module>)
     5004    0.001    0.000    0.001    0.000 {method 'iteritems' of 'dict' objects}
     5003    0.001    0.000    0.001    0.000 eventlethello.py:24(write)
     5001    0.001    0.000    0.001    0.000 {method 'has_key' of 'dict' objects}
     5001    0.001    0.000    0.001    0.000 {method 'append' of 'collections.deque' objects}
     5004    0.001    0.000    0.001    0.000 {method 'clear' of 'dict' objects}
     4987    0.001    0.000    0.001    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.001    0.001 api.py:47(tcp_listener)
        1    0.001    0.001    0.001    0.001 bisect.py:1(<module>)
        1    0.001    0.001    0.001    0.001 kqueuehub.py:23(<module>)
       14    0.000    0.000    0.001    0.000 coros.py:508(create)
       19    0.000    0.000    0.000    0.000 api.py:128(cb)
    21/14    0.000    0.000    0.000    0.000 api.py:147(_spawn)
       14    0.000    0.000    0.000    0.000 api.py:152(spawn)
        1    0.000    0.000    0.000    0.000 timer.py:24(<module>)
        1    0.000    0.000    0.000    0.000 wrappedfd.py:24(<module>)
        1    0.000    0.000    0.000    0.000 util.py:79(tcp_socket)
  10009/1    0.021    0.000    0.000    0.000 pollhub.py:58(switch)
        1    0.000    0.000    0.000    0.000 util.py:152(socket_bind_and_listen)
  5001/14    0.017    0.000    0.000    0.000 coros.py:118(wait)
        1    0.000    0.000    0.000    0.000 wrappedfd.py:81(wrapped_fd)
        1    0.000    0.000    0.000    0.000 util.py:233(set_reuse_addr)
        1    0.000    0.000    0.000    0.000 wrappedfd.py:109(bind)
       20    0.000    0.000    0.000    0.000 pollhub.py:70(add_descriptor)
        1    0.000    0.000    0.000    0.000 wrappedfd.py:105(listen)
        2    0.000    0.000    0.000    0.000 <string>:1(getsockname)
        1    0.000    0.000    0.000    0.000 <string>:1(bind)
       15    0.000    0.000    0.000    0.000 greenlib.py:46(tracked_greenlet)
        1    0.000    0.000    0.000    0.000 wrappedfd.py:101(getsockname)
       20    0.000    0.000    0.000    0.000 pollhub.py:76(remove_descriptor)
       17    0.000    0.000    0.000    0.000 {built-in method register}
        1    0.000    0.000    0.000    0.000 wrappedfd.py:113(getsockopt)
        1    0.000    0.000    0.000    0.000 <string>:1(listen)
        1    0.000    0.000    0.000    0.000 pollhub.py:42(__init__)
        1    0.000    0.000    0.000    0.000 wrappedfd.py:117(setsockopt)
